github_id,measured_from,measured_to,commit_count_3m,pr_count_3m,merged_pr_count_3m,closed_unmerged_pr_count_3m,repository_contribution_count,contributed_repositories,fetched_at,fetch_status,error_message
gh-emp-0008,2026-02-21,2026-05-22,12,5,4,1,1,company/design-system,2026-05-22T09:00:00+09:00,success,
gh-emp-0005,2026-02-21,2026-05-22,9,5,4,1,1,company/brand-assets,2026-05-22T09:00:00+09:00,success,
gh-emp-0011,2026-02-21,2026-05-22,14,3,2,1,2,company/mobile-app;company/prototype-lab,2026-05-22T09:00:00+09:00,success,
gh-emp-0002,2026-02-21,2026-05-22,13,5,4,1,1,company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0007,2026-02-21,2026-05-22,9,2,2,0,3,company/brand-assets;company/mobile-app;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0004,2026-02-21,2026-05-22,8,1,1,0,3,company/mobile-app;company/prototype-lab;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0001,2026-02-21,2026-05-22,10,2,2,0,3,company/brand-assets;company/mobile-app;company/prototype-lab,2026-05-22T09:00:00+09:00,success,
gh-emp-0010,2026-02-21,2026-05-22,3,2,1,1,3,company/brand-assets;company/mobile-app;company/prototype-lab,2026-05-22T09:00:00+09:00,success,
gh-emp-0012,2026-02-21,2026-05-22,11,0,0,0,1,company/mobile-app,2026-05-22T09:00:00+09:00,success,
gh-emp-0006,2026-02-21,2026-05-22,12,4,3,1,3,company/design-system;company/mobile-app;company/prototype-lab,2026-05-22T09:00:00+09:00,success,
gh-emp-0003,2026-02-21,2026-05-22,9,3,2,1,1,company/design-system,2026-05-22T09:00:00+09:00,success,
gh-emp-0009,2026-02-21,2026-05-22,7,3,2,1,1,company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0019,2026-02-21,2026-05-22,123,12,7,5,6,company/api-server;company/auth-service;company/observability;company/payment-service;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0027,2026-02-21,2026-05-22,92,19,13,6,4,company/auth-service;company/data-pipeline;company/payment-service;company/platform-infra,2026-05-22T09:00:00+09:00,success,
gh-emp-0063,2026-02-21,2026-05-22,33,20,16,4,5,company/api-server;company/design-system;company/payment-service;company/platform-infra;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0071,2026-02-21,2026-05-22,89,13,10,3,6,company/api-server;company/auth-service;company/design-system;company/mobile-app;company/observability;company/web-frontend,2026-05-22T09:00:00+09:00,success,
gh-emp-0023,2026-02-21,2026-05-22,109,12,9,3,5,company/auth-service;company/data-pipeline;company/mobile-app;company/observability;company/payment-service,2026-05-22T09:00:00+09:00,success,
