jira_account_id,measured_from,measured_to,assigned_issue_count,reported_issue_count,completed_issue_count,issue_type_mix,priority_mix,avg_cycle_time,overdue_issue_count,estimation_accuracy,worklog_hours,comment_count,avg_comment_response_time,collaboration_touchpoints,status_transition_count,avg_time_in_status,reopened_issue_count,scope_change_count,task_breakdown_count,sprint_participation,sprint_completion_rate,context_switching_score,autonomy_score,ownership_score,bottleneck_risk,fetched_at,fetch_status,error_message
jira-0008,2026-02-21,2026-05-22,15,13,9,Design Task:48%;UX Research:18%;Design QA:18%;Bug:16%,Highest:6%;High:22%;Medium:50%;Low:22%,7.3,0,1.05,72.3,28,16.9,7,55,3.1,0,5,5,SPR-2026-10;SPR-2026-09;SPR-2026-11,0.544,58.2,83.9,62.3,16.5,2026-05-22T09:00:00+09:00,success,
jira-0005,2026-02-21,2026-05-22,14,9,8,Design Task:42%;UX Research:26%;Design QA:15%;Bug:17%,Highest:13%;High:30%;Medium:50%;Low:7%,10.5,0,1.04,62.9,32,5.3,6,40,3.5,1,2,0,SPR-2026-09;SPR-2026-07;SPR-2026-10;SPR-2026-12,0.553,57.7,83.5,66.6,18.6,2026-05-22T09:00:00+09:00,success,
jira-0011,2026-02-21,2026-05-22,17,6,13,Design Task:44%;UX Research:23%;Design QA:19%;Bug:14%,Highest:10%;High:27%;Medium:52%;Low:11%,9.7,2,0.93,62.6,18,24.4,7,71,2.4,0,1,0,SPR-2026-09;SPR-2026-10;SPR-2026-08;SPR-2026-11,0.788,31.6,62.1,76.6,29.3,2026-05-22T09:00:00+09:00,success,
jira-0002,2026-02-21,2026-05-22,27,14,18,Design Task:51%;UX Research:31%;Design QA:16%;Bug:2%,Highest:6%;High:17%;Medium:52%;Low:25%,7.6,1,1.02,93.8,32,10.4,6,71,2.0,0,3,5,SPR-2026-07;SPR-2026-09;SPR-2026-11;SPR-2026-12;SPR-2026-08,0.656,56.5,80.9,48.6,20.2,2026-05-22T09:00:00+09:00,success,
jira-0007,2026-02-21,2026-05-22,10,3,5,Design Task:50%;UX Research:26%;Design QA:20%;Bug:4%,Highest:10%;High:24%;Medium:46%;Low:20%,4.2,5,1.05,104.0,18,10.7,4,27,1.8,0,0,4,SPR-2026-10;SPR-2026-09;SPR-2026-12;SPR-2026-08;SPR-2026-07,0.53,46.0,70.1,70.4,29.8,2026-05-22T09:00:00+09:00,success,
jira-0004,2026-02-21,2026-05-22,11,6,9,Design Task:46%;UX Research:27%;Design QA:20%;Bug:7%,Highest:8%;High:25%;Medium:49%;Low:18%,4.9,0,0.89,61.0,4,23.0,8,54,1.9,2,0,0,SPR-2026-08;SPR-2026-11;SPR-2026-10,0.772,49.2,87.6,66.4,5.8,2026-05-22T09:00:00+09:00,success,
jira-0001,2026-02-21,2026-05-22,14,5,13,Design Task:43%;UX Research:23%;Design QA:20%;Bug:14%,Highest:11%;High:25%;Medium:56%;Low:8%,7.8,3,1.08,26.1,18,5.6,8,31,2.7,0,5,5,SPR-2026-07;SPR-2026-11;SPR-2026-09;SPR-2026-10;SPR-2026-12,0.907,57.7,79.6,59.3,27.5,2026-05-22T09:00:00+09:00,success,
jira-0010,2026-02-21,2026-05-22,13,7,6,Design Task:46%;UX Research:28%;Design QA:20%;Bug:6%,Highest:5%;High:21%;Medium:58%;Low:16%,7.4,0,0.85,35.8,29,7.7,10,50,2.1,0,2,0,SPR-2026-09;SPR-2026-08;SPR-2026-11,0.443,77.5,55.9,54.8,14.7,2026-05-22T09:00:00+09:00,success,
jira-0012,2026-02-21,2026-05-22,10,3,8,Design Task:54%;UX Research:25%;Design QA:13%;Bug:8%,Highest:8%;High:18%;Medium:55%;Low:19%,7.3,4,1.16,87.9,17,16.0,9,22,2.2,2,0,0,SPR-2026-11;SPR-2026-12;SPR-2026-07;SPR-2026-10;SPR-2026-09,0.76,62.5,68.1,67.6,30.5,2026-05-22T09:00:00+09:00,success,
jira-0006,2026-02-21,2026-05-22,13,7,15,Design Task:44%;UX Research:22%;Design QA:16%;Bug:18%,Highest:5%;High:24%;Medium:53%;Low:18%,7.9,1,1.02,56.9,28,17.4,10,43,2.4,0,3,0,SPR-2026-08;SPR-2026-09;SPR-2026-10;SPR-2026-12,1.036,68.1,71.0,68.4,6.5,2026-05-22T09:00:00+09:00,success,
jira-0003,2026-02-21,2026-05-22,9,4,2,Design Task:46%;UX Research:27%;Design QA:16%;Bug:11%,Highest:5%;High:23%;Medium:53%;Low:19%,4.5,0,1.18,132.4,21,10.6,10,22,1.4,0,6,0,SPR-2026-08;SPR-2026-11;SPR-2026-12;SPR-2026-07;SPR-2026-10,0.216,56.7,65.8,61.1,14.1,2026-05-22T09:00:00+09:00,success,
jira-0009,2026-02-21,2026-05-22,18,5,12,Design Task:50%;UX Research:23%;Design QA:18%;Bug:9%,Highest:8%;High:18%;Medium:54%;Low:20%,5.8,0,1.56,69.8,34,14.2,4,33,1.5,0,3,6,SPR-2026-12;SPR-2026-08;SPR-2026-11;SPR-2026-07;SPR-2026-10,0.604,75.7,67.3,63.7,14.5,2026-05-22T09:00:00+09:00,success,
jira-0019,2026-02-21,2026-05-22,25,8,22,Story:40%;Bug:21%;Task:21%;Tech Debt:8%;Incident:10%,Highest:11%;High:24%;Medium:51%;Low:14%,1.7,2,0.59,142.9,43,16.5,11,91,0.8,0,8,1,SPR-2026-07;SPR-2026-10;SPR-2026-11;SPR-2026-09,0.858,65.7,87.4,80.8,16.9,2026-05-22T09:00:00+09:00,success,
jira-0027,2026-02-21,2026-05-22,19,2,11,Story:39%;Bug:25%;Task:18%;Tech Debt:14%;Incident:4%,Highest:8%;High:20%;Medium:49%;Low:23%,7.3,3,1.01,95.9,38,17.4,13,58,1.8,0,6,4,SPR-2026-08;SPR-2026-11;SPR-2026-10,0.54,69.5,42.1,64.1,29.3,2026-05-22T09:00:00+09:00,success,
jira-0063,2026-02-21,2026-05-22,11,6,10,Story:46%;Bug:24%;Task:12%;Tech Debt:12%;Incident:6%,Highest:12%;High:25%;Medium:55%;Low:8%,5.5,0,0.91,94.3,9,15.5,9,37,1.3,0,0,3,SPR-2026-11;SPR-2026-12;SPR-2026-08;SPR-2026-10;SPR-2026-09,0.901,51.6,65.3,83.4,9.0,2026-05-22T09:00:00+09:00,success,
jira-0071,2026-02-21,2026-05-22,19,9,11,Story:44%;Bug:22%;Task:18%;Tech Debt:14%;Incident:2%,Highest:9%;High:29%;Medium:51%;Low:11%,5.7,2,1.09,132.2,44,8.7,10,41,2.1,1,7,5,SPR-2026-10;SPR-2026-07;SPR-2026-08,0.588,62.9,70.5,71.5,20.3,2026-05-22T09:00:00+09:00,success,
jira-0023,2026-02-21,2026-05-22,30,9,24,Story:34%;Bug:22%;Task:19%;Tech Debt:8%;Incident:17%,Highest:11%;High:25%;Medium:54%;Low:10%,5.8,2,0.77,155.6,68,22.5,11,102,1.5,2,7,3,SPR-2026-12;SPR-2026-10;SPR-2026-11;SPR-2026-08,0.845,79.7,63.1,72.0,20.8,2026-05-22T09:00:00+09:00,success,
jira-0055,2026-02-21,2026-05-22,25,10,22,Story:42%;Bug:24%;Task:21%;Tech Debt:7%;Incident:6%,Highest:9%;High:21%;Medium:49%;Low:21%,8.3,4,0.85,120.2,57,8.4,11,67,2.2,1,6,2,SPR-2026-08;SPR-2026-12;SPR-2026-10,0.886,86.5,67.0,66.6,26.1,2026-05-22T09:00:00+09:00,success,
jira-0015,2026-02-21,2026-05-22,33,9,20,Story:47%;Bug:30%;Task:17%;Tech Debt:6%,Highest:6%;High:23%;Medium:51%;Low:20%,5.7,7,0.88,120.3,62,16.4,11,87,1.5,1,9,10,SPR-2026-09;SPR-2026-07;SPR-2026-10;SPR-2026-12,0.643,61.1,66.7,85.1,57.0,2026-05-22T09:00:00+09:00,success,
jira-0035,2026-02-21,2026-05-22,24,8,14,Story:40%;Bug:23%;Task:19%;Tech Debt:15%;Incident:3%,Highest:5%;High:29%;Medium:54%;Low:12%,2.9,3,0.86,125.1,59,7.8,8,95,1.1,0,5,9,SPR-2026-09;SPR-2026-08;SPR-2026-07,0.563,63.5,82.1,73.2,40.9,2026-05-22T09:00:00+09:00,success,
jira-0039,2026-02-21,2026-05-22,32,9,26,Story:38%;Bug:23%;Task:18%;Tech Debt:13%;Incident:8%,Highest:1%;High:17%;Medium:52%;Low:30%,7.8,5,0.81,92.8,68,9.1,11,115,2.3,2,4,7,SPR-2026-10;SPR-2026-09;SPR-2026-11;SPR-2026-08,0.816,76.7,72.3,74.7,38.9,2026-05-22T09:00:00+09:00,success,
jira-0043,2026-02-21,2026-05-22,27,13,16,Story:41%;Bug:24%;Task:20%;Tech Debt:9%;Incident:6%,Highest:8%;High:27%;Medium:48%;Low:17%,7.0,5,1.19,109.4,64,10.9,7,61,2.0,1,4,8,SPR-2026-12;SPR-2026-08;SPR-2026-10;SPR-2026-11,0.593,55.1,71.4,90.5,37.7,2026-05-22T09:00:00+09:00,success,
jira-0047,2026-02-21,2026-05-22,51,16,51,Story:47%;Bug:24%;Task:17%;Tech Debt:12%,Highest:10%;High:22%;Medium:54%;Low:14%,7.4,5,1.02,103.4,106,17.6,3,165,2.6,4,13,12,SPR-2026-08;SPR-2026-12;SPR-2026-07;SPR-2026-10;SPR-2026-11,0.956,87.4,63.1,59.5,25.2,2026-05-22T09:00:00+09:00,success,
jira-0059,2026-02-21,2026-05-22,19,4,15,Story:39%;Bug:22%;Task:17%;Tech Debt:12%;Incident:10%,Highest:6%;High:28%;Medium:55%;Low:11%,8.6,0,1.15,140.3,47,12.8,12,64,2.1,3,1,6,SPR-2026-11;SPR-2026-10;SPR-2026-09;SPR-2026-07;SPR-2026-12,0.832,49.9,69.8,81.4,9.3,2026-05-22T09:00:00+09:00,success,
jira-0031,2026-02-21,2026-05-22,37,12,35,Story:44%;Bug:21%;Task:20%;Tech Debt:13%;Incident:2%,Highest:3%;High:23%;Medium:50%;Low:24%,11.0,4,0.8,110.2,77,11.9,10,101,3.3,2,7,12,SPR-2026-11;SPR-2026-12;SPR-2026-09,1.017,73.6,83.2,99.9,32.6,2026-05-22T09:00:00+09:00,success,
jira-0051,2026-02-21,2026-05-22,25,11,23,Story:46%;Bug:24%;Task:15%;Tech Debt:8%;Incident:7%,Highest:8%;High:23%;Medium:49%;Low:20%,9.7,5,0.79,86.9,46,3.8,8,90,3.3,2,0,8,SPR-2026-12;SPR-2026-07;SPR-2026-10,0.81,66.2,80.3,81.4,31.1,2026-05-22T09:00:00+09:00,success,
jira-0067,2026-02-21,2026-05-22,32,8,23,Story:35%;Bug:21%;Task:20%;Tech Debt:14%;Incident:10%,Highest:12%;High:22%;Medium:51%;Low:15%,6.8,3,0.72,68.5,50,4.9,10,93,1.6,3,5,6,SPR-2026-08;SPR-2026-12;SPR-2026-11;SPR-2026-07;SPR-2026-09,0.7,83.1,61.8,88.1,24.7,2026-05-22T09:00:00+09:00,success,
jira-0075,2026-02-21,2026-05-22,38,11,32,Story:43%;Bug:26%;Task:18%;Tech Debt:12%;Incident:1%,Highest:10%;High:22%;Medium:52%;Low:16%,7.5,6,0.8,122.7,73,1,14,99,3.0,0,11,9,SPR-2026-10;SPR-2026-08;SPR-2026-11;SPR-2026-12;SPR-2026-07,0.848,79.9,76.0,67.8,55.0,2026-05-22T09:00:00+09:00,success,
jira-0079,2026-02-21,2026-05-22,31,9,23,Story:39%;Bug:19%;Task:20%;Tech Debt:10%;Incident:12%,Highest:8%;High:25%;Medium:46%;Low:21%,6.0,6,0.64,109.1,65,4.0,11,78,2.0,0,2,3,SPR-2026-07;SPR-2026-11;SPR-2026-08,0.713,87.6,77.3,75.9,42.6,2026-05-22T09:00:00+09:00,success,
